Player,POS,Team,Pass Yds,Pass TDs,INT,Rush Yds,Rush TDs,REC,Rec Yds,Rec TDs,Rookie,Bust%,FL,adp_standard,stdev_standard,adp_half,stdev_half,adp_ppr,stdev_ppr,adp_2qb,stdev_2qb,bye,playoff_sos_pctl,playoff_sos_label
Fernando Mendoza,QB,LV,2626.3,12.6,10.0,196.7,2.1,0.0,0.0,0.0,True,6.0,1.5,,,,,164.6,21.1,128.8,18.5,13.0,58.3,Neutral
Justin Jefferson,WR,MIN,4.9,0.0,0.0,8.4,0.0,75.5,994.5,4.9,False,,1.5,19.1,3.1,15.4,2.5,14.6,3.0,31.6,6.4,6.0,77.1,Easy
J.J. McCarthy,QB,MIN,2358.8,15.7,15.0,213.8,3.1,0.1,0.3,0.0,False,,1.5,,,,,,,,,,84.4,Easy
Zach Charbonnet,RB,SEA,0.1,0.0,0.0,700.3,10.6,24.4,183.2,0.5,False,,1.5,134.9,15.1,134.8,22.6,139.8,18.5,136.9,22.6,11.0,59.4,Neutral
Breece Hall,RB,NYJ,2.1,0.6,0.0,855.1,3.5,36.3,314.7,1.4,False,,1.5,27.1,4.1,26.1,3.2,27.0,3.2,46.4,4.3,13.0,46.9,Neutral
Brian Thomas Jr.,WR,JAX,0.1,0.0,0.0,22.4,0.1,67.5,964.9,5.6,False,,1.5,67.8,6.4,69.4,6.8,81.1,8.3,89.9,6.5,7.0,62.5,Neutral
Deshaun Watson,QB,CLE,2311.0,12.6,7.0,231.2,2.4,0.1,0.4,0.0,False,,1.5,,,,,,,135.4,18.9,11.0,63.5,Neutral
Anthony Richardson,QB,IND,1955.4,10.3,10.6,339.9,4.8,1.8,7.4,0.4,False,,1.5,,,,,,,,,,58.3,Neutral
Quentin Johnston,WR,LAC,0.1,0.0,0.0,13.7,0.1,61.0,830.1,7.9,False,,1.5,73.0,6.4,80.7,7.1,95.6,8.4,97.1,10.2,7.0,47.4,Neutral
Terry McLaurin,WR,WAS,0.1,0.0,0.0,4.8,0.0,63.3,884.4,7.0,False,,1.5,44.4,3.3,42.4,3.5,43.0,4.3,63.2,6.4,7.0,42.7,Neutral
DK Metcalf,WR,PIT,0.1,0.0,0.0,7.8,0.1,65.0,921.7,6.0,False,,1.5,62.7,7.5,63.1,6.8,65.9,7.2,81.8,7.9,9.0,72.4,Easy
Geno Smith,QB,NYJ,2671.1,15.6,13.2,122.5,0.8,0.0,0.1,0.0,False,,1.5,,,,,,,106.7,8.1,13.0,33.3,Tough
Alec Pierce,WR,IND,0.1,0.0,0.0,2.5,0.0,49.4,958.6,6.4,False,,1.5,44.7,5.4,47.8,5.1,55.3,6.5,70.9,8.3,13.0,44.8,Neutral
Shedeur Sanders,QB,CLE,2553.0,14.5,14.5,208.6,1.1,0.1,0.3,0.0,False,,1.5,,,,,,,139.9,17.4,11.0,63.5,Neutral
Rico Dowdle,RB,PIT,0.1,0.0,0.0,847.6,3.8,35.0,253.6,1.3,False,,1.5,67.0,4.3,64.2,5.9,64.8,7.7,90.7,10.2,9.0,64.6,Neutral
Ladd McConkey,WR,LAC,0.1,0.0,0.0,2.3,0.0,69.2,872.8,6.0,False,,1.5,48.2,6.6,45.7,5.0,44.3,4.9,68.2,7.5,7.0,47.4,Neutral
Saquon Barkley,RB,PHI,0.1,0.0,0.0,858.1,5.5,24.9,187.8,1.3,False,,1.5,14.3,3.1,18.2,3.2,19.0,3.3,26.9,4.5,10.0,33.3,Tough
Ashton Jeanty,RB,LV,0.1,0.0,0.0,750.2,3.9,40.4,269.7,2.0,False,,1.5,16.3,3.4,14.3,2.8,13.8,2.9,29.7,5.7,13.0,51.0,Neutral
Christian Watson,WR,GB,0.1,0.0,0.0,14.0,0.1,52.0,869.8,7.0,False,,1.5,59.5,6.8,64.5,6.5,70.9,8.4,79.5,7.1,11.0,44.8,Neutral
Kirk Cousins,QB,LV,2660.3,15.1,9.6,56.4,0.6,0.0,0.1,0.0,False,,1.5,,,,,,,136.4,19.3,13.0,58.3,Neutral
Jaylen Warren,RB,PIT,0.1,0.0,0.0,726.0,4.5,37.6,300.1,1.2,False,,1.5,79.4,9.9,78.1,6.6,68.8,7.1,98.9,9.2,9.0,64.6,Neutral
J.K. Dobbins,RB,DEN,0.1,0.0,0.0,931.4,6.2,22.1,125.9,0.2,False,,1.5,75.4,8.3,85.0,7.9,91.9,10.3,94.5,8.5,10.0,52.1,Neutral
Rhamondre Stevenson,RB,NE,0.1,0.0,0.0,646.1,6.4,30.6,257.8,1.5,False,,1.5,70.8,9.7,73.3,5.8,72.3,6.9,93.8,8.3,11.0,40.6,Neutral
Bam Knight,RB,ARI,0.2,0.0,0.0,549.7,8.2,31.1,226.4,1.7,False,,1.5,,,,,,,,,,68.8,Easy
Rome Odunze,WR,CHI,0.1,0.0,0.0,7.2,0.0,58.2,817.6,6.7,False,,1.5,40.1,4.1,44.4,4.2,49.3,5.8,61.2,6.4,10.0,58.3,Neutral
Romeo Doubs,WR,NE,0.1,0.0,0.0,2.8,0.0,60.8,787.3,6.8,False,,1.5,103.4,6.9,109.2,9.3,116.0,9.3,122.6,11.3,11.0,33.9,Tough
Jakobi Meyers,WR,JAX,0.1,0.0,0.0,19.2,0.1,74.5,856.9,3.8,False,,1.5,78.8,4.8,77.5,5.0,75.6,7.4,101.6,12.6,7.0,62.5,Neutral
Khalil Shakir,WR,BUF,0.1,0.0,0.0,8.8,0.0,79.5,840.7,3.9,False,,1.5,114.8,8.6,104.4,9.3,102.0,8.6,135.1,9.6,7.0,47.9,Neutral
Parker Washington,WR,JAX,0.1,0.0,0.0,24.9,0.1,60.4,829.7,5.2,False,,1.5,66.2,6.5,68.7,6.1,72.3,8.1,90.1,7.6,7.0,62.5,Neutral
RJ Harvey,RB,DEN,0.1,0.0,0.0,517.2,5.5,37.7,280.8,2.6,False,,1.5,96.5,14.1,89.5,9.8,82.6,8.8,117.0,16.8,10.0,52.1,Neutral
Chuba Hubbard,RB,CAR,0.1,0.0,0.0,763.4,4.3,30.1,196.4,1.7,False,,1.5,81.7,7.0,78.2,7.7,75.9,6.9,98.0,9.1,5.0,41.7,Neutral
Quinshon Judkins,RB,CLE,0.1,0.0,0.0,778.2,6.0,26.7,186.5,0.1,False,,1.5,47.0,5.8,47.8,5.9,49.9,5.2,64.2,6.4,11.0,63.5,Neutral
Tyler Huntley,QB,BAL,1838.7,9.9,5.0,288.6,2.3,0.1,0.3,0.0,False,,1.5,,,,,,,,,,57.3,Neutral
Courtland Sutton,WR,DEN,7.2,0.2,0.0,1.9,0.0,59.7,799.9,5.8,False,,1.5,50.3,5.1,52.5,6.0,59.6,6.2,81.8,9.6,10.0,43.8,Neutral
Garrett Wilson,WR,NYJ,0.1,0.0,0.0,5.7,0.0,69.9,781.1,5.3,False,,1.5,41.1,4.4,30.9,3.1,29.0,3.2,59.1,5.4,13.0,30.2,Tough
Carson Wentz,QB,MIN,2338.7,12.9,9.5,125.9,1.1,0.1,0.3,0.0,False,,1.5,,,,,,,,,,84.4,Easy
Michael Pittman,WR,PIT,0.1,0.0,0.0,2.0,0.0,72.1,765.6,5.2,False,,1.5,94.2,8.4,80.6,7.1,72.2,6.9,109.7,9.9,9.0,72.4,Easy
Mason Rudolph,QB,PIT,2144.2,13.4,10.1,154.7,1.5,0.1,0.3,0.0,False,,1.5,,,,,,,,,,58.3,Neutral
Emeka Egbuka,WR,TB,0.1,0.0,0.0,10.5,0.1,56.6,798.3,5.4,False,,1.5,29.6,2.9,32.0,3.4,34.4,4.1,51.2,7.6,10.0,58.3,Neutral
Drew Lock,QB,SEA,1927.3,11.7,6.6,183.9,2.0,0.1,0.3,0.0,False,,1.5,,,,,,,,,,32.3,Tough
Jake Browning,QB,TB,2117.1,15.0,14.1,142.5,1.6,0.1,0.4,0.0,False,,1.5,,,,,,,,,,40.6,Neutral
Michael Wilson,WR,ARI,0.1,0.0,0.0,3.3,0.0,61.1,769.5,5.2,False,,1.5,86.7,7.5,88.4,8.7,88.6,8.7,107.0,10.0,14.0,53.1,Neutral
Chris Rodriguez Jr.,RB,JAX,0.1,0.0,0.0,700.6,9.4,8.3,63.5,0.3,False,,1.5,143.8,22.4,159.9,20.5,163.6,18.4,153.6,14.4,7.0,65.6,Easy
Wan'Dale Robinson,WR,TEN,0.1,0.0,0.0,12.8,0.1,76.5,785.4,3.2,False,,1.5,100.3,8.9,78.6,6.0,71.0,7.0,122.4,12.5,9.0,78.1,Easy
Marvin Harrison Jr.,WR,ARI,0.1,0.0,0.0,2.4,0.0,52.4,739.1,6.1,False,,1.5,63.9,6.3,62.1,7.0,63.9,6.8,85.3,6.5,14.0,53.1,Neutral
Jordyn Tyson,WR,NO,0.0,0.0,0.0,0.0,0.0,59.5,801.1,4.5,True,16.0,1.5,80.2,5.7,81.7,7.6,87.1,7.0,98.4,6.9,8.0,60.4,Neutral
Jacory Croskey-Merritt,RB,WAS,0.1,0.0,0.0,726.5,6.9,16.1,118.4,0.5,False,,1.5,95.0,12.2,109.4,14.7,111.3,15.7,113.1,13.2,7.0,30.2,Tough
Tucker Kraft,TE,GB,0.1,0.0,0.0,5.7,0.1,53.8,722.1,6.1,False,,1.5,91.1,10.6,103.8,18.0,108.3,21.5,102.8,13.4,11.0,59.4,Neutral
Ricky Pearsall,WR,SF,0.1,0.0,0.0,20.4,0.1,62.7,857.6,2.8,False,,1.5,103.4,6.1,110.2,6.2,112.3,6.3,118.0,12.4,8.0,25.5,Tough
